row_type,region,region_label,component_or_construct,construct,base_name,value_unit,hightech_value_region,base_value_region,intensity_region,hightech_value_japan,base_value_japan,intensity_japan,normalized_value,note
component,tokyo_ma,Tokyo Metropolitan Area,hightech_employment,hq_corporate_innovation,total_employment_all_industries,persons,2590294.0,17871198.0,0.1449423815907585,6624630.0,57949915.0,0.11431647483866024,1.2679045762679608,
component,osaka_kansai,Osaka/Kansai Metropolitan Area,hightech_employment,hq_corporate_innovation,total_employment_all_industries,persons,875691.0,8343563.0,0.10495408256640479,6624630.0,57949915.0,0.11431647483866024,0.9181011110999617,
component,tokyo_ma,Tokyo Metropolitan Area,hightech_establishments,hq_corporate_innovation,total_establishments_all_industries,establishments,131355.0,1326531.0,0.09902143259373508,375523.0,5156063.0,0.07283134438039256,1.3595991318868659,
component,osaka_kansai,Osaka/Kansai Metropolitan Area,hightech_establishments,hq_corporate_innovation,total_establishments_all_industries,establishments,55651.0,743592.0,0.074840772896965,375523.0,5156063.0,0.07283134438039256,1.0275901609899902,
component,tokyo_ma,Tokyo Metropolitan Area,hightech_mfg_value_added,industrial_production,total_manufacturing_value_added_mn_yen,mn_yen,6189508.0,15475432.0,0.3999570415869489,38628173.0,96825529.0,0.39894616015988926,1.0025338793251062,
component,osaka_kansai,Osaka/Kansai Metropolitan Area,hightech_mfg_value_added,industrial_production,total_manufacturing_value_added_mn_yen,mn_yen,5459755.0,13600496.0,0.4014379328518607,38628173.0,96825529.0,0.39894616015988926,1.0062458871416955,
component,tokyo_ma,Tokyo Metropolitan Area,hightech_mfg_shipments,industrial_production,total_manufacturing_shipments_mn_yen,mn_yen,16490038.0,47705140.0,0.3456658548743385,104796562.0,302003273.0,0.34700472269384974,0.9961416438107313,
component,osaka_kansai,Osaka/Kansai Metropolitan Area,hightech_mfg_shipments,industrial_production,total_manufacturing_shipments_mn_yen,mn_yen,15032831.0,39211791.0,0.3833752709739782,104796562.0,302003273.0,0.34700472269384974,1.1048128336634109,
component,tokyo_ma,Tokyo Metropolitan Area,patent_applications,hq_corporate_innovation,total_employment_all_industries,applications,147326.0,17871198.0,0.008243767429581385,237169.0,57949915.0,0.004092654838234016,2.014283577634555,
component,osaka_kansai,Osaka/Kansai Metropolitan Area,patent_applications,hq_corporate_innovation,total_employment_all_industries,applications,41481.0,8343563.0,0.0049716170417841874,237169.0,57949915.0,0.004092654838234016,1.2147657787651216,
construct_mean,tokyo_ma,Tokyo Metropolitan Area,hq_corporate_innovation,hq_corporate_innovation,,ratio_vs_national_norm,,,,,,,1.5472624285964607,mean of 3 normalized components
construct_mean,tokyo_ma,Tokyo Metropolitan Area,industrial_production,industrial_production,,ratio_vs_national_norm,,,,,,,0.9993377615679188,mean of 2 normalized components
construct_mean,osaka_kansai,Osaka/Kansai Metropolitan Area,hq_corporate_innovation,hq_corporate_innovation,,ratio_vs_national_norm,,,,,,,1.053485683618358,mean of 3 normalized components
construct_mean,osaka_kansai,Osaka/Kansai Metropolitan Area,industrial_production,industrial_production,,ratio_vs_national_norm,,,,,,,1.055529360402553,mean of 2 normalized components
